line1,col1,line2,col2,id,parent,token,terminal,text,pkg_name
550,37,550,45,4697,4698,SYMBOL_FUNCTION_CALL,True,glue_data,glue
560,51,560,60,4783,4785,SYMBOL_FUNCTION_CALL,True,caller_env,rlang
561,29,561,39,4799,4800,SYMBOL_FUNCTION_CALL,True,eval_select,tidyselect
562,5,562,9,4803,4805,SYMBOL_FUNCTION_CALL,True,enquo,rlang
568,30,568,40,4855,4856,SYMBOL_FUNCTION_CALL,True,eval_select,tidyselect
569,5,569,9,4859,4861,SYMBOL_FUNCTION_CALL,True,enquo,rlang
575,10,575,29,4909,4911,SYMBOL_FUNCTION_CALL,True,select_wider_id_cols,tidyr
583,3,583,6,4991,4993,SYMBOL_FUNCTION_CALL,True,expr,rlang
590,47,590,56,5072,5074,SYMBOL_FUNCTION_CALL,True,caller_env,rlang
591,14,591,18,5086,5088,SYMBOL_FUNCTION_CALL,True,enquo,rlang
596,7,596,17,5162,5164,SYMBOL_FUNCTION_CALL,True,quo_is_null,rlang
601,3,601,11,5210,5212,SYMBOL_FUNCTION_CALL,True,try_fetch,rlang
602,28,602,38,5219,5220,SYMBOL_FUNCTION_CALL,True,eval_select,tidyselect
603,7,603,11,5223,5225,SYMBOL_FUNCTION_CALL,True,enquo,rlang
609,7,609,25,5279,5281,SYMBOL_FUNCTION_CALL,True,rethrow_id_cols_oob,tidyr
619,3,619,14,5389,5391,SYMBOL_FUNCTION_CALL,True,check_string,dplyr
622,5,622,20,5425,5427,SYMBOL_FUNCTION_CALL,True,stop_id_cols_oob,tidyr
624,5,624,20,5470,5472,SYMBOL_FUNCTION_CALL,True,stop_id_cols_oob,tidyr
627,5,627,7,5506,5508,SYMBOL_FUNCTION_CALL,True,zap,rlang
632,8,632,16,5554,5555,SYMBOL_FUNCTION_CALL,True,cli_abort,cli
645,41,645,50,5636,5638,SYMBOL_FUNCTION_CALL,True,caller_env,rlang
646,39,646,48,5648,5650,SYMBOL_FUNCTION_CALL,True,caller_env,rlang
647,11,647,16,5666,5668,SYMBOL_FUNCTION_CALL,True,enquos,rlang
659,6,659,13,5748,5750,SYMBOL_FUNCTION_CALL,True,is_named,cli
663,5,663,35,5793,5795,SYMBOL_FUNCTION_CALL,True,warn_deprecated_unnamed_id_cols,tidyr
665,16,665,20,5824,5826,SYMBOL_FUNCTION_CALL,True,enquo,rlang
666,5,666,21,5838,5840,SYMBOL_FUNCTION_CALL,True,check_dots_empty0,rlang
672,65,672,74,5895,5897,SYMBOL_FUNCTION_CALL,True,caller_env,rlang
673,14,673,21,5913,5915,SYMBOL_FUNCTION_CALL,True,as_label,rlang
675,14,675,27,5931,5932,SYMBOL_FUNCTION_CALL,True,deprecate_warn,lifecycle
677,19,677,31,5951,5952,SYMBOL_FUNCTION_CALL,True,format_inline,cli
680,20,680,32,5977,5978,SYMBOL_FUNCTION_CALL,True,format_inline,cli
690,86,690,95,6054,6056,SYMBOL_FUNCTION_CALL,True,caller_env,rlang
691,12,691,19,6068,6070,SYMBOL_FUNCTION_CALL,True,vec_chop,vctrs
698,12,698,14,6141,6143,SYMBOL_FUNCTION_CALL,True,map,dplyr
700,12,700,21,6166,6168,SYMBOL_FUNCTION_CALL,True,list_sizes,vctrs
706,10,706,18,6242,6243,SYMBOL_FUNCTION_CALL,True,cli_abort,cli
715,12,715,22,6298,6300,SYMBOL_FUNCTION_CALL,True,list_unchop,vctrs
722,12,722,19,6349,6351,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
723,12,723,19,6366,6368,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
731,21,731,24,6462,6464,SYMBOL_FUNCTION_CALL,True,seq2,rlang
736,10,736,17,6521,6523,SYMBOL_FUNCTION_CALL,True,vec_chop,vctrs
738,11,738,20,6560,6561,SYMBOL_FUNCTION_CALL,True,new_tibble,tibble
746,7,746,17,6644,6646,SYMBOL_FUNCTION_CALL,True,vec_is_list,vctrs
747,6,747,13,6660,6662,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
747,28,747,36,6679,6681,SYMBOL_FUNCTION_CALL,True,have_name,rlang
749,5,749,12,6701,6703,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
757,19,757,26,6810,6811,SYMBOL_FUNCTION_CALL,True,backtick,glue
