"line1","col1","line2","col2","id","parent","token","terminal","text"
340,16,340,25,1943,1945,"SYMBOL_FUNCTION_CALL",TRUE,"vec_unique"
340,27,340,27,1946,1948,"SYMBOL_FUNCTION_CALL",TRUE,"c"
343,13,343,20,2002,2004,"SYMBOL_FUNCTION_CALL",TRUE,"complete"
343,31,343,34,2014,2016,"SYMBOL_FUNCTION_CALL",TRUE,"syms"
348,13,348,24,2084,2086,"SYMBOL_FUNCTION_CALL",TRUE,"vec_group_id"
349,11,349,14,2101,2103,"SYMBOL_FUNCTION_CALL",TRUE,"attr"
350,11,350,19,2124,2126,"SYMBOL_FUNCTION_CALL",TRUE,"vec_slice"
350,27,350,40,2133,2135,"SYMBOL_FUNCTION_CALL",TRUE,"vec_unique_loc"
352,18,352,23,2157,2159,"SYMBOL_FUNCTION_CALL",TRUE,"length"
354,13,354,18,2176,2178,"SYMBOL_FUNCTION_CALL",TRUE,"vector"
355,3,355,7,2198,2200,"SYMBOL_FUNCTION_CALL",TRUE,"names"
359,20,359,32,2235,2237,"SYMBOL_FUNCTION_CALL",TRUE,"vec_group_loc"
362,13,362,19,2266,2268,"SYMBOL_FUNCTION_CALL",TRUE,"seq_len"
368,20,368,34,2351,2353,"SYMBOL_FUNCTION_CALL",TRUE,"value_summarize"
378,21,378,30,2429,2430,"SYMBOL_FUNCTION_CALL",TRUE,"new_tibble"
380,22,380,30,2456,2458,"SYMBOL_FUNCTION_CALL",TRUE,"character"
382,18,382,23,2475,2477,"SYMBOL_FUNCTION_CALL",TRUE,"unname"
382,25,382,29,2478,2480,"SYMBOL_FUNCTION_CALL",TRUE,"split"
383,16,383,23,2509,2511,"SYMBOL_FUNCTION_CALL",TRUE,"vec_init"
383,25,383,28,2512,2514,"SYMBOL_FUNCTION_CALL",TRUE,"list"
383,33,383,38,2522,2524,"SYMBOL_FUNCTION_CALL",TRUE,"length"
385,13,385,21,2547,2549,"SYMBOL_FUNCTION_CALL",TRUE,"seq_along"
390,18,390,22,2627,2629,"SYMBOL_FUNCTION_CALL",TRUE,"names"
391,15,391,23,2667,2669,"SYMBOL_FUNCTION_CALL",TRUE,"vec_match"
391,25,391,33,2670,2672,"SYMBOL_FUNCTION_CALL",TRUE,"as_tibble"
392,17,392,26,2716,2718,"SYMBOL_FUNCTION_CALL",TRUE,"data.frame"
396,9,396,15,2764,2766,"SYMBOL_FUNCTION_CALL",TRUE,"is.null"
396,30,396,46,2775,2777,"SYMBOL_FUNCTION_CALL",TRUE,"vec_duplicate_any"
399,26,399,26,2805,2807,"SYMBOL_FUNCTION_CALL",TRUE,"c"
402,10,402,16,2838,2840,"SYMBOL_FUNCTION_CALL",TRUE,"is.null"
403,17,403,29,2857,2859,"SYMBOL_FUNCTION_CALL",TRUE,"vec_group_loc"
407,16,407,30,2900,2902,"SYMBOL_FUNCTION_CALL",TRUE,"value_summarize"
417,13,417,16,2976,2978,"SYMBOL_FUNCTION_CALL",TRUE,"nrow"
420,9,420,15,3012,3014,"SYMBOL_FUNCTION_CALL",TRUE,"is.null"
421,14,421,21,3030,3032,"SYMBOL_FUNCTION_CALL",TRUE,"vec_init"
423,7,423,15,3061,3063,"SYMBOL_FUNCTION_CALL",TRUE,"stopifnot"
423,17,423,24,3064,3066,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
424,15,424,22,3089,3091,"SYMBOL_FUNCTION_CALL",TRUE,"vec_cast"
425,14,425,25,3120,3122,"SYMBOL_FUNCTION_CALL",TRUE,"vec_rep_each"
427,12,427,21,3155,3157,"SYMBOL_FUNCTION_CALL",TRUE,"vec_assign"
429,23,429,41,3217,3219,"SYMBOL_FUNCTION_CALL",TRUE,"chop_rectangular_df"
432,7,432,12,3252,3254,"SYMBOL_FUNCTION_CALL",TRUE,"length"
433,30,433,37,3276,3277,"SYMBOL_FUNCTION_CALL",TRUE,"backtick"
434,30,434,42,3295,3296,"SYMBOL_FUNCTION_CALL",TRUE,"glue_collapse"
436,19,436,19,3330,3332,"SYMBOL_FUNCTION_CALL",TRUE,"c"
437,19,437,43,3353,3355,"SYMBOL_FUNCTION_CALL",TRUE,"backtick_if_not_syntactic"
438,25,438,37,3372,3373,"SYMBOL_FUNCTION_CALL",TRUE,"glue_collapse"
440,10,440,17,3398,3399,"SYMBOL_FUNCTION_CALL",TRUE,"cli_warn"
440,19,440,19,3401,3403,"SYMBOL_FUNCTION_CALL",TRUE,"c"
452,13,452,21,3490,3492,"SYMBOL_FUNCTION_CALL",TRUE,"vec_cbind"
457,10,457,25,3548,3550,"SYMBOL_FUNCTION_CALL",TRUE,"wrap_error_names"
457,27,457,35,3551,3553,"SYMBOL_FUNCTION_CALL",TRUE,"vec_cbind"
465,3,465,20,3606,3608,"SYMBOL_FUNCTION_CALL",TRUE,"reconstruct_tibble"
481,43,481,53,3724,3726,"SYMBOL_FUNCTION_CALL",TRUE,"current_env"
482,3,482,19,3735,3737,"SYMBOL_FUNCTION_CALL",TRUE,"check_dots_empty0"
484,29,484,39,3755,3756,"SYMBOL_FUNCTION_CALL",TRUE,"eval_select"
485,5,485,9,3759,3761,"SYMBOL_FUNCTION_CALL",TRUE,"enquo"
491,30,491,40,3818,3819,"SYMBOL_FUNCTION_CALL",TRUE,"eval_select"
492,5,492,9,3822,3824,"SYMBOL_FUNCTION_CALL",TRUE,"enquo"
499,3,499,14,3878,3880,"SYMBOL_FUNCTION_CALL",TRUE,"check_string"
500,3,500,14,3899,3901,"SYMBOL_FUNCTION_CALL",TRUE,"check_string"
501,3,501,14,3920,3922,"SYMBOL_FUNCTION_CALL",TRUE,"check_string"
502,3,502,12,3949,3951,"SYMBOL_FUNCTION_CALL",TRUE,"check_bool"
503,3,503,12,3970,3972,"SYMBOL_FUNCTION_CALL",TRUE,"check_bool"
505,17,505,26,3996,3998,"SYMBOL_FUNCTION_CALL",TRUE,"arg_match0"
507,14,507,14,4011,4013,"SYMBOL_FUNCTION_CALL",TRUE,"c"
512,11,512,19,4060,4062,"SYMBOL_FUNCTION_CALL",TRUE,"as_tibble"
517,16,517,21,4107,4109,"SYMBOL_FUNCTION_CALL",TRUE,"expand"
517,32,517,35,4119,4121,"SYMBOL_FUNCTION_CALL",TRUE,"syms"
517,37,517,41,4122,4124,"SYMBOL_FUNCTION_CALL",TRUE,"names"
519,16,519,25,4159,4161,"SYMBOL_FUNCTION_CALL",TRUE,"vec_unique"
522,18,522,25,4187,4189,"SYMBOL_FUNCTION_CALL",TRUE,"vec_sort"
526,16,526,19,4221,4223,"SYMBOL_FUNCTION_CALL",TRUE,"exec"
528,10,528,15,4260,4262,"SYMBOL_FUNCTION_CALL",TRUE,"tibble"
529,13,529,22,4266,4268,"SYMBOL_FUNCTION_CALL",TRUE,"vec_paste0"
532,7,532,12,4296,4298,"SYMBOL_FUNCTION_CALL",TRUE,"length"
533,19,533,23,4321,4323,"SYMBOL_FUNCTION_CALL",TRUE,"names"
536,14,536,20,4358,4360,"SYMBOL_FUNCTION_CALL",TRUE,"vec_rep"
536,27,536,34,4367,4369,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
537,21,537,32,4392,4394,"SYMBOL_FUNCTION_CALL",TRUE,"vec_rep_each"
537,34,537,38,4395,4397,"SYMBOL_FUNCTION_CALL",TRUE,"names"
537,54,537,61,4409,4411,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
538,18,538,24,4431,4433,"SYMBOL_FUNCTION_CALL",TRUE,"vec_rep"
538,35,538,42,4440,4442,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
540,14,540,25,4469,4471,"SYMBOL_FUNCTION_CALL",TRUE,"vec_rep_each"
540,32,540,39,4478,4480,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
541,21,541,27,4503,4505,"SYMBOL_FUNCTION_CALL",TRUE,"vec_rep"
541,29,541,33,4506,4508,"SYMBOL_FUNCTION_CALL",TRUE,"names"
541,49,541,56,4520,4522,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
542,18,542,29,4542,4544,"SYMBOL_FUNCTION_CALL",TRUE,"vec_rep_each"
542,40,542,47,4551,4553,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
545,18,545,27,4586,4588,"SYMBOL_FUNCTION_CALL",TRUE,"vec_paste0"
548,10,548,18,4631,4633,"SYMBOL_FUNCTION_CALL",TRUE,"vec_cbind"
548,25,548,33,4640,4642,"SYMBOL_FUNCTION_CALL",TRUE,"as_tibble"
549,8,549,14,4670,4672,"SYMBOL_FUNCTION_CALL",TRUE,"is.null"
550,18,550,29,4692,4694,"SYMBOL_FUNCTION_CALL",TRUE,"as.character"
550,37,550,45,4697,4698,"SYMBOL_FUNCTION_CALL",TRUE,"glue_data"
560,51,560,60,4783,4785,"SYMBOL_FUNCTION_CALL",TRUE,"caller_env"
561,29,561,39,4799,4800,"SYMBOL_FUNCTION_CALL",TRUE,"eval_select"
562,5,562,9,4803,4805,"SYMBOL_FUNCTION_CALL",TRUE,"enquo"
568,30,568,40,4855,4856,"SYMBOL_FUNCTION_CALL",TRUE,"eval_select"
569,5,569,9,4859,4861,"SYMBOL_FUNCTION_CALL",TRUE,"enquo"
575,10,575,29,4909,4911,"SYMBOL_FUNCTION_CALL",TRUE,"select_wider_id_cols"
578,23,578,27,4943,4945,"SYMBOL_FUNCTION_CALL",TRUE,"names"
579,24,579,28,4960,4962,"SYMBOL_FUNCTION_CALL",TRUE,"names"
583,3,583,6,4991,4993,"SYMBOL_FUNCTION_CALL",TRUE,"expr"
583,8,583,8,4994,4996,"SYMBOL_FUNCTION_CALL",TRUE,"c"
588,52,588,60,5048,5050,"SYMBOL_FUNCTION_CALL",TRUE,"character"
589,53,589,61,5060,5062,"SYMBOL_FUNCTION_CALL",TRUE,"character"
590,47,590,56,5072,5074,"SYMBOL_FUNCTION_CALL",TRUE,"caller_env"
591,14,591,18,5086,5088,"SYMBOL_FUNCTION_CALL",TRUE,"enquo"
594,16,594,22,5111,5113,"SYMBOL_FUNCTION_CALL",TRUE,"setdiff"
594,24,594,28,5114,5116,"SYMBOL_FUNCTION_CALL",TRUE,"names"
594,37,594,37,5128,5130,"SYMBOL_FUNCTION_CALL",TRUE,"c"
596,7,596,17,5162,5164,"SYMBOL_FUNCTION_CALL",TRUE,"quo_is_null"
598,5,598,10,5179,5181,"SYMBOL_FUNCTION_CALL",TRUE,"return"
598,12,598,16,5182,5184,"SYMBOL_FUNCTION_CALL",TRUE,"names"
601,3,601,11,5210,5212,"SYMBOL_FUNCTION_CALL",TRUE,"try_fetch"
602,28,602,38,5219,5220,"SYMBOL_FUNCTION_CALL",TRUE,"eval_select"
603,7,603,11,5223,5225,"SYMBOL_FUNCTION_CALL",TRUE,"enquo"
609,7,609,25,5279,5281,"SYMBOL_FUNCTION_CALL",TRUE,"rethrow_id_cols_oob"
613,3,613,7,5326,5328,"SYMBOL_FUNCTION_CALL",TRUE,"names"
619,3,619,14,5389,5391,"SYMBOL_FUNCTION_CALL",TRUE,"check_string"
622,5,622,20,5425,5427,"SYMBOL_FUNCTION_CALL",TRUE,"stop_id_cols_oob"
624,5,624,20,5470,5472,"SYMBOL_FUNCTION_CALL",TRUE,"stop_id_cols_oob"
627,5,627,7,5506,5508,"SYMBOL_FUNCTION_CALL",TRUE,"zap"
632,8,632,16,5554,5555,"SYMBOL_FUNCTION_CALL",TRUE,"cli_abort"
633,5,633,5,5558,5560,"SYMBOL_FUNCTION_CALL",TRUE,"c"
645,41,645,50,5636,5638,"SYMBOL_FUNCTION_CALL",TRUE,"caller_env"
646,39,646,48,5648,5650,"SYMBOL_FUNCTION_CALL",TRUE,"caller_env"
647,11,647,16,5666,5668,"SYMBOL_FUNCTION_CALL",TRUE,"enquos"
651,44,651,48,5694,5696,"SYMBOL_FUNCTION_CALL",TRUE,"names"
658,5,658,10,5730,5732,"SYMBOL_FUNCTION_CALL",TRUE,"length"
659,6,659,13,5748,5750,"SYMBOL_FUNCTION_CALL",TRUE,"is_named"
663,5,663,35,5793,5795,"SYMBOL_FUNCTION_CALL",TRUE,"warn_deprecated_unnamed_id_cols"
665,16,665,20,5824,5826,"SYMBOL_FUNCTION_CALL",TRUE,"enquo"
666,5,666,21,5838,5840,"SYMBOL_FUNCTION_CALL",TRUE,"check_dots_empty0"
672,65,672,74,5895,5897,"SYMBOL_FUNCTION_CALL",TRUE,"caller_env"
673,14,673,21,5913,5915,"SYMBOL_FUNCTION_CALL",TRUE,"as_label"
675,14,675,27,5931,5932,"SYMBOL_FUNCTION_CALL",TRUE,"deprecate_warn"
677,12,677,12,5946,5948,"SYMBOL_FUNCTION_CALL",TRUE,"I"
677,19,677,31,5951,5952,"SYMBOL_FUNCTION_CALL",TRUE,"format_inline"
680,20,680,32,5977,5978,"SYMBOL_FUNCTION_CALL",TRUE,"format_inline"
690,86,690,95,6054,6056,"SYMBOL_FUNCTION_CALL",TRUE,"caller_env"
691,12,691,19,6068,6070,"SYMBOL_FUNCTION_CALL",TRUE,"vec_chop"
693,7,693,15,6092,6094,"SYMBOL_FUNCTION_CALL",TRUE,"identical"
695,5,695,10,6115,6117,"SYMBOL_FUNCTION_CALL",TRUE,"return"
698,12,698,14,6141,6143,"SYMBOL_FUNCTION_CALL",TRUE,"map"
700,12,700,21,6166,6168,"SYMBOL_FUNCTION_CALL",TRUE,"list_sizes"
703,7,703,9,6197,6199,"SYMBOL_FUNCTION_CALL",TRUE,"any"
706,10,706,18,6242,6243,"SYMBOL_FUNCTION_CALL",TRUE,"cli_abort"
707,7,707,7,6246,6248,"SYMBOL_FUNCTION_CALL",TRUE,"c"
715,12,715,22,6298,6300,"SYMBOL_FUNCTION_CALL",TRUE,"list_unchop"
722,12,722,19,6349,6351,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
723,12,723,19,6366,6368,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
725,14,725,19,6389,6391,"SYMBOL_FUNCTION_CALL",TRUE,"vector"
730,13,730,19,6435,6437,"SYMBOL_FUNCTION_CALL",TRUE,"seq_len"
731,21,731,24,6462,6464,"SYMBOL_FUNCTION_CALL",TRUE,"seq2"
736,10,736,17,6521,6523,"SYMBOL_FUNCTION_CALL",TRUE,"vec_chop"
737,3,737,7,6541,6543,"SYMBOL_FUNCTION_CALL",TRUE,"names"
738,11,738,20,6560,6561,"SYMBOL_FUNCTION_CALL",TRUE,"new_tibble"
742,7,742,13,6604,6606,"SYMBOL_FUNCTION_CALL",TRUE,"is.null"
743,5,743,10,6619,6621,"SYMBOL_FUNCTION_CALL",TRUE,"return"
746,7,746,17,6644,6646,"SYMBOL_FUNCTION_CALL",TRUE,"vec_is_list"
747,6,747,13,6660,6662,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
747,28,747,36,6679,6681,"SYMBOL_FUNCTION_CALL",TRUE,"have_name"
749,5,749,12,6701,6703,"SYMBOL_FUNCTION_CALL",TRUE,"vec_size"
754,9,754,18,6750,6752,"SYMBOL_FUNCTION_CALL",TRUE,"make.names"
755,6,755,10,6771,6773,"SYMBOL_FUNCTION_CALL",TRUE,"is.na"
757,19,757,26,6810,6811,"SYMBOL_FUNCTION_CALL",TRUE,"backtick"
